data,PM10,PTS,NO2,O3,SO2,"PM 2,5",CO,Tº,DV,PP,PA,VV,RS,UR
01/01/21 00:30,8,,8.14,37.11,6.51,17,0.34,25.46,112.04,0,,1.53,2.14,69.23
01/01/21 01:30,17,,7.47,38.24,6.28,6,0.43,25.13,109.08,0,,1.46,1.09,69.06
01/01/21 02:30,10,,7.68,36.65,6.08,4,0.36,24.76,89.17,0,,1.11,2.11,68.77
01/01/21 03:30,11,,11.77,33.22,5.88,,0.29,24.59,128.61,0,,0.94,1.13,67.09
01/01/21 04:30,8,,9,29.92,5.59,,0.3,23.94,111.92,0,,0.67,1.53,70.2
01/01/21 05:30,5,,7.69,29.92,5.25,2,0.34,23.94,100.01,0,,0.66,24.06,70.38
01/01/21 06:30,10,,6.63,32.76,4.61,2,0.36,25.93,111.94,0,,1.19,133.27,63.66
01/01/21 07:30,8,,5.67,39.22,4.24,3,0.32,28.35,111.5,0,,1.2,398.06,54.28
01/01/21 08:30,4,,3.95,47.88,4,3,0.25,29.55,138.98,0,,1.06,632.97,48.44
01/01/21 09:30,3,,3.93,56.63,3.79,1,0.27,30.79,44.36,0,,1.49,855.06,44.54
01/01/21 10:30,2,,3.4,62.71,3.41,1,0.26,32.25,47.95,0,,1.67,1002.05,39.98
01/01/21 11:30,2,,5.41,74.81,3.31,1,0.27,32.41,199.52,0,,1.23,547.6,39.66
01/01/21 12:30,1,,4.71,78.88,3.2,,0.33,33.26,111.23,0,,1.36,409.51,37.81
01/01/21 13:30,5,,5.47,73.67,3.35,,0.34,33.74,344.35,0,,1.92,438.7,36.49
01/01/21 14:30,5,,4.85,69.31,3.77,,0.28,33.52,297.28,0,,1.55,306.54,36.69
01/01/21 15:30,6,,9.8,71.75,3.72,2,0.3,30.57,188.71,0,,1.96,128.38,41.54
01/01/21 16:30,3,,16.58,63.11,3.22,3,0.31,26.48,278.48,2.8,,2.73,59.94,59.19
01/01/21 17:30,5,,46.9,25.83,2.85,5,0.54,24.33,350.24,0.4,,0.63,35.95,81.27
01/01/21 18:30,26,,32.45,33.74,2.86,5,0.7,23.87,323.43,8.4,,1.68,9.7,82.39
01/01/21 19:30,14,,23.35,48.3,2.98,3,0.43,21.53,272.03,3.4,,1.8,5.85,90.78
01/01/21 20:30,20,,16.47,49.92,2.58,,0.39,21.32,308.86,7.2,,1.61,5.45,93.12
01/01/21 21:30,11,,16.58,49.11,2.55,,0.41,21.39,140.86,2.6,,1.18,5.26,91.93
01/01/21 22:30,6,,14.81,47.71,2.43,,0.41,21.11,130.99,0,,0.86,7.05,88.27
01/01/21 23:30,4,,23.62,33.28,1.88,,0.36,21.25,143.24,0,,1.03,7.34,88.03
02/01/21 00:30,,,10.3,44.84,0.55,,0.28,21.47,31.47,0,,0.86,8.07,84.53
02/01/21 01:30,,,5.05,43.04,0.52,,0.27,21.11,109.55,0,,0.97,4.81,86.83
02/01/21 02:30,,,6.84,44.36,0.45,,0.26,21.09,104.87,0.2,,0.64,4.75,84.98
02/01/21 03:30,,,4.41,45.03,0.25,,0.27,21.11,116.61,0,,1.62,6.55,83.04
02/01/21 04:30,,,3.81,44.75,0.42,,0.25,20.94,112.94,0,,1.73,5.65,82.27
02/01/21 05:30,,,9.88,45.55,0.34,1,0.26,21.08,104.37,0,,1.44,9.27,79.71
02/01/21 06:30,,,10.72,41.16,0.24,1,0.29,21.53,116.81,0,,1.51,76.28,77
02/01/21 07:30,,,6.04,48.11,0.26,,0.26,22.49,119.41,0,,1.58,212.65,73.44
02/01/21 08:30,,,5.91,57.14,0.21,,0.25,25.87,107.62,0,,1.27,563.84,58.22
02/01/21 09:30,,,4.25,65.68,0.59,,0.25,27.35,111.67,0,,1.7,507.67,50.92
02/01/21 10:30,,,4.35,67.42,1.08,,0.24,28.02,143.7,0,,2.12,497.21,47.62
02/01/21 11:30,,,3.97,64.05,1.04,,0.26,29.67,116.5,0,,1.78,758.08,47.35
02/01/21 12:30,,,4.25,69.99,1.24,,0.3,29.23,91.42,0,,1.47,344.9,50.18
02/01/21 13:30,,,5.1,70.1,1.14,,0.3,28.52,33.67,0,,1.55,402.85,50.91
02/01/21 14:30,,,4.36,74.33,1.47,,0.3,29.18,74.31,0,,1.33,551.09,50.84
02/01/21 15:30,,,8.4,78.46,3.08,,0.3,29.51,60.6,0,,1.34,472.93,49.48
02/01/21 16:30,,,5.66,73.25,3.69,,0.29,28.92,58.67,0,,1.56,205.61,51.01
02/01/21 17:30,,,5.16,58.77,3.4,,0.28,28.65,97.91,0,,1.22,59.44,52.86
02/01/21 18:30,,,5.99,52.76,3.69,,0.28,27.8,112.52,0,,1.29,9.78,54.51
02/01/21 19:30,,,11.57,47.31,3.73,,0.33,27.44,117.6,0,,1.29,3.28,56.06
02/01/21 20:30,,,17.5,42.04,3.75,,0.37,24.8,154.51,4.2,,1.73,2.83,74.71
02/01/21 21:30,,,18.64,43.29,3.54,,0.33,21.54,153.46,3.2,,1.51,6.47,88.31
02/01/21 22:30,,,12.18,48.57,3.49,,0.28,20.12,192.37,17,,1.67,5.67,91.98
02/01/21 23:30,,,9.51,40.46,3.45,,0.27,20.06,30.64,2.6,,1.32,5.91,90.42
03/01/21 00:30,,,6.56,48.99,3.32,,0.26,19.92,126.96,6.8,,1.29,5.39,93.75
03/01/21 01:30,,,12.03,46.32,3.07,,0.25,19.62,112.16,2.8,,1.32,5.36,93.02
03/01/21 02:30,,,3.31,49.99,2.76,,0.21,19.48,109.22,0,,1.12,5.25,91.55
03/01/21 03:30,,,5.94,42.82,2.59,,0.23,19.36,138.99,0,,0.83,3.86,93.02
03/01/21 04:30,,,3.03,41.4,2.32,,0.27,19.48,120.89,0,,1,4.63,91.16
03/01/21 05:30,,,3.85,40.76,1.9,,0.26,19.86,122.37,0,,1.07,17.68,86.71
03/01/21 06:30,,,7.95,33.94,1.51,,0.31,20.49,117.29,0,,0.73,46.39,84.21
03/01/21 07:30,,,8.09,35.03,1.42,,0.29,21.3,107.25,0,,1.2,114.8,79.75
03/01/21 08:30,,,6.1,38.85,1.64,,0.3,22.96,112.31,0,,1.28,278.03,72.66
03/01/21 09:30,,,4.08,44.36,1.42,,0.26,23.99,115.71,0,,1.67,361.51,68.19
03/01/21 10:30,,,5.36,49.02,1.16,,0.27,26.78,90.66,0,,1.41,895.91,58.91
03/01/21 11:30,,,6.77,57.43,1.18,1,0.32,28.52,331.84,0,,1.35,720.49,55.57
03/01/21 12:30,,,5.89,65.31,1.74,6,0.35,29.09,330.29,0,,1.63,513.89,53.15
03/01/21 13:30,,,4.96,64.18,2.03,2,0.33,29.22,23.6,0,,1.62,440.22,52.31
03/01/21 14:30,,,5.72,61.78,3.45,,0.3,29.42,81.72,0,,1.42,296.35,51.85
03/01/21 15:30,,,4.48,60.75,3.68,,0.25,29.69,89.21,0,,1.36,392.78,49.66
03/01/21 16:30,,,7.98,50.93,4.21,,0.37,29.03,79.27,0,,1.41,142.58,52.01
03/01/21 17:30,,,5.79,46.86,4.16,,0.33,28.45,82.73,0,,1.04,71.54,54.45
03/01/21 18:30,,,11.38,33.62,4.41,,0.34,27.13,121.74,0,,1.79,8.61,62.76
03/01/21 19:30,,,9.29,31,4.67,,0.33,26.27,125.3,0,,1.67,3.47,66.34
03/01/21 20:30,,,12.43,34.84,4.87,,0.32,24.44,103.53,24.2,,2.79,3.49,75.25
03/01/21 21:30,,,18.03,39.33,4.81,,0.29,19.95,243.85,15,,1.32,5.93,96.09
03/01/21 22:30,,,21.3,38.68,4.58,,0.3,20.21,137.64,6,,1.27,5.5,92.47
03/01/21 23:30,,,8.25,38.66,2.81,,0.29,20.24,92.57,0.8,,0.9,7.08,91.93
04/01/21 00:30,,,15.11,34.18,0.25,,0.25,20.06,314.17,0,,1.11,6.66,92.18
